Variable:,tas
Country:,Brazil
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.35,25.52,25.36,24.73,24.30,23.44,23.73,24.46,25.37,25.94,25.47,25.34
1902,25.35,25.70,25.37,25.16,24.63,24.10,23.85,23.72,25.35,25.58,25.94,25.82
1903,25.32,25.62,25.56,24.98,24.05,23.82,23.54,24.04,25.12,25.38,25.35,25.67
1904,25.14,25.27,25.25,24.94,23.70,23.08,23.45,23.94,25.08,25.31,25.49,25.31
1905,25.14,25.34,24.99,24.73,24.47,23.71,23.28,24.11,25.07,26.12,25.55,25.63
1906,25.24,25.30,25.25,24.84,24.40,23.06,23.46,24.40,24.92,25.73,25.73,25.60
1907,25.23,25.35,25.50,24.97,23.91,23.48,22.86,23.80,25.20,25.48,25.66,25.77
1908,25.43,25.62,25.36,25.00,24.20,23.58,23.77,23.71,25.31,25.23,25.40,25.72
1909,25.65,25.59,25.32,24.99,23.59,23.32,23.43,24.32,25.20,25.42,25.59,25.31
1910,25.50,25.49,25.18,25.00,23.59,23.62,23.36,24.37,25.19,25.35,25.38,25.42
1911,25.27,25.49,24.85,24.68,24.08,22.88,22.85,23.87,24.88,25.36,25.89,25.76
1912,25.77,25.85,25.39,25.08,24.32,23.28,22.36,24.00,24.27,25.14,25.71,25.25
1913,25.10,25.35,25.19,24.95,23.78,23.00,23.33,23.76,24.80,25.37,25.62,25.24
1914,25.59,25.28,25.31,24.78,23.63,23.74,23.33,23.73,25.10,25.43,25.70,25.48
1915,25.65,25.87,25.66,25.67,24.94,22.98,22.99,24.23,24.74,25.47,25.27,25.34
1916,25.35,25.31,24.97,24.80,23.91,22.85,22.86,24.07,25.26,25.09,25.29,25.10
1917,25.04,24.87,24.85,24.32,22.94,22.39,22.36,23.39,24.85,25.10,25.14,25.18
1918,25.12,24.88,25.11,24.70,23.99,23.09,22.79,23.67,24.93,25.53,25.63,25.39
1919,25.49,25.60,25.60,25.29,24.74,23.77,23.57,23.55,24.85,25.58,25.67,25.42
1920,25.46,25.46,25.27,24.98,23.83,22.81,22.62,23.40,24.85,25.70,25.54,25.22
1921,25.22,25.26,25.15,24.52,24.12,22.27,22.07,24.08,24.66,25.26,24.98,25.50
1922,25.25,25.19,25.07,24.67,23.70,22.79,22.75,23.93,24.82,24.83,25.21,25.05
1923,25.08,25.11,25.03,24.68,23.30,23.01,22.30,23.90,24.92,25.34,25.35,25.58
1924,25.33,25.26,25.30,24.74,23.46,22.93,22.70,23.04,24.53,24.61,25.20,25.13
1925,24.93,25.01,24.77,24.92,23.81,22.62,22.54,24.24,24.77,25.10,25.35,25.53
1926,25.39,25.46,25.55,24.87,23.58,23.45,22.43,24.08,25.38,25.41,25.68,25.28
1927,25.07,25.14,25.04,24.74,23.62,22.50,22.39,23.68,24.77,25.29,25.61,25.28
1928,25.33,25.41,25.22,25.16,23.88,23.22,22.72,23.36,24.65,25.21,25.47,25.22
1929,25.42,25.26,24.95,24.35,23.17,22.70,22.76,23.85,25.01,25.46,25.20,25.13
1930,25.20,25.16,25.31,24.77,24.13,23.84,22.89,24.13,24.76,25.24,25.33,25.42
1931,25.75,25.58,25.37,25.02,23.59,22.85,23.04,23.82,24.51,25.35,25.13,25.27
1932,25.10,25.41,25.17,25.20,23.77,23.20,23.64,23.65,25.05,25.52,25.76,25.29
1933,25.30,25.28,25.10,24.56,23.94,22.50,22.36,23.91,25.04,25.36,25.08,25.08
1934,25.08,24.80,24.93,24.39,23.80,23.34,22.94,23.84,24.81,24.85,25.36,25.22
1935,25.37,25.15,25.37,24.29,23.47,23.30,23.13,23.86,24.72,25.34,25.33,25.59
1936,25.25,25.15,25.27,24.84,24.67,23.60,23.00,23.64,25.07,25.67,25.46,25.44
1937,25.19,25.58,25.27,24.51,23.55,23.43,23.14,24.48,24.95,25.18,25.66,25.50
1938,25.46,25.57,25.14,24.43,23.79,23.16,23.12,23.68,24.94,25.07,25.34,25.31
1939,25.42,25.21,25.13,24.61,24.31,23.48,22.73,24.14,24.78,25.57,25.46,25.37
1940,25.37,25.45,25.31,25.00,24.52,23.45,23.75,23.88,24.93,25.39,25.33,25.95
1941,25.69,25.80,25.47,25.65,24.39,23.15,23.34,24.65,24.28,25.72,25.70,25.73
1942,25.94,25.63,25.60,25.16,23.90,22.83,22.25,24.22,25.28,25.49,25.82,25.34
1943,25.39,25.34,25.14,24.48,24.30,23.36,23.16,23.20,24.74,25.85,25.53,25.25
