Variable:,tas
Country:,Canada
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-23.26,-22.24,-16.31,-7.00,2.27,8.03,12.27,11.03,4.81,-1.17,-12.47,-18.20
1902,-21.88,-20.00,-16.44,-7.67,1.30,6.94,11.81,10.46,4.87,-1.68,-12.66,-21.10
1903,-22.43,-21.45,-17.21,-8.05,0.72,8.54,11.70,10.04,4.28,-2.16,-12.50,-18.61
1904,-23.88,-26.41,-18.82,-6.66,1.68,8.07,11.98,10.19,4.27,-1.77,-10.00,-19.36
1905,-23.79,-22.07,-14.80,-6.53,1.73,8.03,12.35,10.98,5.27,-3.35,-10.77,-18.33
1906,-22.58,-21.74,-16.90,-5.84,1.37,8.66,13.11,10.83,5.71,-1.51,-11.82,-21.35
1907,-26.77,-23.25,-17.56,-9.79,0.18,7.90,11.76,9.49,4.52,-1.98,-11.06,-17.77
1908,-21.31,-21.42,-18.60,-7.92,1.60,8.32,12.76,10.41,5.70,-2.37,-11.30,-19.70
1909,-25.89,-23.56,-15.90,-9.92,0.89,8.77,12.10,10.61,5.79,-2.40,-12.99,-19.81
1910,-21.87,-23.94,-13.94,-6.01,1.15,8.65,12.40,9.74,4.78,-1.79,-12.36,-19.57
1911,-26.59,-22.43,-15.98,-8.21,2.02,8.74,12.08,10.13,4.47,-2.00,-13.99,-18.11
1912,-25.27,-20.70,-18.01,-7.25,1.89,8.61,11.33,9.89,4.70,-2.08,-10.58,-18.30
1913,-25.12,-23.02,-18.24,-6.45,0.88,8.73,11.68,10.65,4.89,-3.05,-10.74,-16.97
1914,-22.87,-24.76,-16.40,-7.78,1.91,8.21,12.54,10.58,5.31,-0.78,-11.41,-20.91
1915,-21.93,-19.91,-15.02,-4.01,1.67,7.63,11.73,11.62,4.90,-2.14,-11.57,-17.65
1916,-26.54,-22.51,-18.34,-6.48,1.12,8.11,12.65,10.71,5.26,-2.78,-11.65,-21.55
1917,-25.32,-24.76,-17.07,-8.40,0.51,7.34,12.51,10.59,5.44,-3.72,-9.68,-24.66
1918,-24.22,-23.87,-17.18,-7.46,0.17,7.58,11.59,10.33,5.03,-2.37,-10.94,-18.08
1919,-19.99,-22.33,-18.74,-6.41,1.63,8.80,12.28,11.20,5.67,-4.27,-14.49,-21.03
1920,-25.15,-19.59,-17.10,-9.50,0.90,7.95,12.56,11.15,5.55,-1.80,-11.66,-18.75
1921,-22.37,-20.88,-17.34,-6.78,1.86,9.48,13.03,10.29,5.04,-1.40,-13.90,-18.80
1922,-22.63,-25.52,-17.39,-7.52,2.21,8.23,11.76,10.92,5.54,-2.73,-10.88,-22.05
1923,-24.24,-23.23,-20.40,-8.28,1.19,9.25,12.28,9.95,5.88,-0.72,-9.05,-18.02
1924,-24.41,-20.03,-13.76,-8.15,1.74,8.02,11.96,10.32,5.38,-1.29,-11.94,-22.57
1925,-25.91,-23.04,-16.58,-6.19,1.66,8.50,12.22,11.04,5.06,-4.46,-11.66,-16.62
1926,-20.22,-20.34,-15.83,-7.72,1.72,7.99,12.18,10.23,3.78,-1.98,-12.45,-20.22
1927,-22.76,-21.72,-14.62,-7.72,0.47,8.04,12.36,10.62,5.56,-1.39,-14.81,-22.72
1928,-21.37,-19.81,-15.90,-9.57,2.47,8.33,12.42,10.22,4.94,-2.60,-9.76,-16.02
1929,-24.53,-22.88,-16.37,-8.06,0.52,8.05,11.73,11.01,5.08,-0.86,-11.71,-21.15
1930,-25.21,-21.08,-15.72,-6.68,1.55,9.22,12.81,11.86,5.61,-2.64,-10.56,-15.90
1931,-19.88,-17.49,-16.37,-6.23,1.52,9.21,13.34,11.12,6.11,-0.45,-10.51,-17.53
1932,-21.89,-23.75,-18.21,-6.51,2.54,9.17,12.06,11.99,6.04,-2.88,-14.08,-20.26
1933,-23.36,-23.33,-16.77,-7.63,1.61,8.23,12.00,11.83,5.39,-3.59,-13.43,-26.41
1934,-22.83,-21.06,-17.47,-6.24,2.20,7.97,12.04,9.97,4.21,-1.81,-10.52,-20.01
1935,-26.61,-18.64,-18.31,-8.38,1.24,8.41,13.22,10.74,5.37,-3.01,-14.72,-18.53
1936,-25.46,-26.17,-14.92,-8.87,1.85,8.59,13.03,11.13,4.86,-3.70,-12.06,-20.69
1937,-25.40,-21.91,-15.18,-5.67,2.83,9.62,13.02,11.05,5.90,-1.36,-11.80,-20.53
1938,-21.71,-23.21,-14.60,-7.45,2.29,9.26,13.22,11.04,7.73,0.13,-11.63,-17.23
1939,-20.78,-25.78,-19.00,-6.37,2.35,7.77,12.67,11.62,4.82,-4.10,-9.70,-14.55
1940,-20.59,-20.01,-14.98,-6.23,2.36,7.75,12.58,11.28,7.57,-1.11,-13.58,-18.41
1941,-21.96,-18.83,-15.24,-5.55,2.22,9.30,13.53,10.53,4.22,-2.38,-11.96,-18.43
