Variable:,tas
Country:,Egypt
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.46,16.38,18.93,22.66,24.99,28.37,29.08,28.82,26.72,23.91,18.24,14.83
1902,12.43,15.96,17.45,22.06,25.69,27.49,28.47,28.46,27.34,24.06,17.88,13.49
1903,11.71,12.94,16.91,22.00,25.88,27.46,27.79,28.18,25.71,22.64,17.34,14.31
1904,12.48,14.94,17.61,21.08,24.92,27.34,28.31,28.39,26.31,24.53,17.08,12.63
1905,11.38,11.96,16.00,21.82,26.10,28.36,29.41,28.96,27.41,25.07,20.16,13.36
1906,12.58,14.58,18.01,22.35,25.59,28.99,29.30,29.10,26.30,24.16,19.11,15.72
1907,13.19,14.60,15.89,21.40,25.61,28.05,28.79,28.72,26.28,23.46,17.77,14.61
1908,13.10,14.41,18.08,22.61,26.33,28.41,28.44,28.39,26.64,24.07,17.80,13.14
1909,12.82,14.73,19.76,21.01,28.21,29.21,29.76,29.52,27.53,24.39,19.74,15.91
1910,12.59,14.91,15.40,23.32,26.20,28.11,29.28,29.22,27.17,22.87,18.04,13.45
1911,12.68,12.65,16.86,21.84,26.10,28.05,28.97,28.70,26.48,24.12,19.08,14.37
1912,12.42,15.34,17.70,22.10,25.03,27.84,28.43,28.16,26.75,23.93,18.71,13.84
1913,13.00,13.91,16.55,22.59,24.98,27.32,28.74,28.49,27.42,24.19,17.74,13.44
1914,13.23,14.54,19.02,20.44,26.37,28.71,29.05,29.59,27.09,23.53,19.42,14.92
1915,15.06,16.26,18.70,22.39,25.97,29.87,30.03,29.75,27.44,25.09,19.99,16.25
1916,12.27,15.59,20.06,23.24,27.33,30.75,30.55,29.04,26.89,23.15,21.07,16.34
1917,14.26,15.37,19.26,23.40,24.74,27.99,29.17,29.29,26.72,23.33,21.59,14.48
1918,12.55,14.03,17.70,22.30,25.99,28.48,30.08,28.70,27.66,25.97,20.80,14.84
1919,15.03,16.66,20.09,22.40,24.99,27.69,29.60,28.51,27.76,25.72,20.55,14.24
1920,12.99,12.35,17.40,23.21,25.65,28.71,29.24,30.15,26.99,24.46,18.51,14.00
1921,13.09,13.62,16.19,23.45,25.67,28.53,30.03,30.34,26.50,23.81,18.92,14.79
1922,13.48,14.93,18.33,23.05,25.88,28.48,29.61,29.30,27.78,25.63,20.97,13.74
1923,14.35,14.67,17.97,21.88,26.23,30.08,28.91,28.93,27.59,24.09,20.14,15.25
1924,12.90,15.89,18.99,23.69,25.38,29.49,29.88,29.46,27.81,23.99,18.51,14.46
1925,10.87,13.85,19.93,21.91,26.50,28.51,29.62,29.14,28.09,25.05,20.64,16.15
1926,13.16,14.63,17.25,23.15,28.08,29.82,28.85,28.11,26.12,24.25,19.45,14.96
1927,13.81,12.85,18.55,21.61,27.56,28.84,30.09,29.32,27.45,26.29,20.52,16.46
1928,15.25,14.17,18.29,24.58,28.58,28.96,29.48,30.04,28.33,24.14,19.38,15.38
1929,12.70,14.13,17.15,22.56,28.89,29.12,28.80,29.70,28.56,23.56,20.52,13.59
1930,12.63,14.70,18.37,23.45,26.53,29.30,29.87,30.12,28.08,24.58,18.95,17.11
1931,14.44,14.99,19.27,22.93,26.28,28.67,30.01,30.10,28.50,25.21,18.73,14.65
1932,12.85,15.04,18.65,22.71,25.42,29.79,30.26,29.91,27.78,26.40,19.80,14.45
1933,13.44,16.13,18.42,20.63,26.30,30.05,28.77,28.53,26.03,23.20,22.22,16.00
1934,13.56,12.80,19.50,23.51,27.42,29.48,29.53,29.68,27.12,25.10,20.92,14.69
1935,14.25,15.13,19.34,22.47,28.50,30.18,29.08,29.50,27.24,25.39,17.77,15.12
1936,14.54,16.29,19.79,24.04,27.07,28.50,29.93,29.70,26.48,26.44,21.09,13.73
1937,11.80,15.67,19.71,23.65,26.62,28.51,29.60,29.24,28.96,25.41,20.25,16.32
1938,13.80,14.37,15.94,23.31,26.18,27.93,29.84,30.10,27.49,24.47,18.64,15.78
1939,13.90,14.74,17.99,23.39,28.94,28.89,29.74,29.19,28.56,26.48,19.10,16.14
1940,13.84,15.84,17.73,23.48,27.15,29.95,29.84,28.53,27.47,25.64,19.21,14.99
1941,14.49,17.24,18.25,23.35,28.34,29.02,29.92,29.79,26.97,23.40,20.13,13.38
1942,12.64,15.75,18.79,23.89,27.46,29.78,29.09,28.69,26.38,24.39,19.62,15.48
