Variable:,tas
Country:,Spain
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,5.08,3.72,7.47,11.40,14.03,19.66,21.78,21.72,17.88,11.77,7.09,4.30
1902,4.88,6.29,9.23,11.49,12.66,16.97,21.60,21.18,17.66,12.16,8.90,5.60
1903,5.18,6.75,8.81,10.68,13.21,17.10,21.08,21.59,17.58,13.78,8.97,4.65
1904,4.85,6.49,7.16,11.30,15.47,18.66,22.12,21.95,17.21,14.01,8.06,6.82
1905,4.25,4.81,9.50,11.90,13.53,17.75,21.94,21.04,17.26,11.77,7.26,5.15
1906,5.70,4.96,7.76,9.46,13.64,18.91,21.30,22.42,18.51,13.60,8.31,4.71
1907,4.21,4.54,8.52,10.29,13.05,18.23,20.13,21.79,18.64,11.92,8.60,7.28
1908,5.50,6.00,6.83,9.13,15.42,17.32,21.05,21.14,18.46,14.19,9.51,6.23
1909,3.97,4.31,7.54,11.59,14.43,16.17,20.52,21.24,16.73,13.84,8.12,6.92
1910,5.05,7.10,7.39,10.05,12.48,17.84,20.38,20.60,17.45,13.30,8.62,6.56
1911,2.87,6.17,7.46,9.36,13.42,17.20,22.46,22.39,20.08,12.83,8.48,7.30
1912,5.66,8.37,9.82,10.44,15.29,17.45,19.75,19.60,16.67,12.30,7.38,5.00
1913,6.63,6.11,8.58,9.90,14.11,18.80,21.00,20.85,17.18,13.32,9.78,5.17
1914,3.35,7.16,9.07,11.36,13.95,16.53,20.22,20.76,18.87,13.15,7.87,6.03
1915,4.67,5.51,8.32,9.22,14.47,17.80,21.55,21.81,17.78,11.95,8.11,7.14
1916,5.60,5.94,7.11,10.42,14.43,17.28,20.77,21.71,17.57,13.69,8.51,6.30
1917,3.88,5.16,6.79,9.01,14.38,18.20,21.80,20.42,19.18,11.83,7.97,3.58
1918,5.52,6.17,7.38,9.10,14.31,18.21,21.29,21.77,17.96,10.95,7.99,6.43
1919,4.23,7.18,7.92,9.63,14.16,18.96,19.87,22.24,18.62,11.32,6.69,4.93
1920,5.55,6.94,8.55,11.26,15.26,18.18,20.65,20.48,18.18,12.58,7.86,5.13
1921,5.53,6.02,8.14,10.06,13.86,18.50,22.47,21.21,19.27,15.50,8.02,5.19
