Variable:,tas
Country:,"United Kingdom"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.01,1.46,3.29,7.21,10.53,12.49,16.25,14.54,12.88,8.48,5.04,2.65
1902,3.59,1.15,5.61,6.73,7.93,12.03,13.34,13.12,12.12,8.66,6.40,3.74
1903,3.02,5.48,5.31,5.36,9.79,11.95,13.83,13.03,11.98,9.11,5.52,2.40
1904,3.36,2.35,3.52,7.43,9.60,12.50,14.86,14.00,11.76,8.95,5.12,3.93
1905,3.67,3.78,5.38,6.03,9.96,13.47,15.61,13.57,11.52,6.60,4.26,5.02
1906,4.22,2.09,4.04,6.25,9.05,13.11,14.12,15.11,12.73,9.50,6.77,2.46
1907,3.23,2.02,5.46,6.53,9.24,11.26,13.40,13.05,12.74,8.99,5.63,3.91
1908,2.47,4.47,3.52,5.32,10.93,12.99,14.52,13.62,12.01,11.12,6.58,3.89
1909,3.28,3.04,2.76,7.54,9.79,11.55,13.57,14.43,11.19,9.11,4.10,2.81
1910,2.85,3.65,5.31,6.12,10.01,13.13,13.39,14.21,11.92,9.68,3.33,5.24
1911,3.32,3.76,4.37,6.69,11.46,13.08,16.04,16.14,12.63,8.52,5.06,5.09
1912,3.10,4.05,6.13,7.87,10.37,12.45,14.37,11.83,10.40,7.80,5.39,5.19
1913,3.49,3.90,4.77,6.85,10.01,12.55,13.74,14.24,12.58,10.00,7.30,4.03
1914,2.87,5.26,4.78,8.68,9.77,13.05,14.79,15.05,12.47,9.42,5.69,3.31
1915,2.93,2.81,4.30,7.03,9.54,12.96,13.60,14.17,12.39,8.36,2.93,3.79
1916,6.01,2.77,2.78,6.97,10.03,10.99,14.23,15.02,12.34,9.34,6.31,2.55
1917,1.21,1.15,2.80,4.54,10.84,13.31,14.94,14.59,12.87,6.77,7.14,2.16
1918,2.76,5.43,4.91,6.19,11.35,12.26,14.23,14.82,10.56,8.34,5.03,5.52
1919,2.67,1.68,2.73,6.51,11.50,12.68,13.15,14.53,11.94,7.77,2.44,4.15
1920,3.82,5.11,5.66,6.90,10.44,13.00,13.36,12.99,12.07,9.75,6.74,3.34
1921,5.73,4.32,5.80,7.41,10.30,13.34,16.23,13.82,12.96,11.54,5.00,5.53
1922,2.97,3.70,4.38,4.81,10.92,12.41,12.68,12.77,11.18,7.78,5.71,4.59
1923,4.95,4.38,5.69,6.38,8.24,11.70,15.66,13.85,11.42,8.86,3.06,3.21
1924,3.82,2.87,3.41,5.96,9.84,12.63,14.03,13.35,11.84,9.13,6.51,5.84
1925,4.65,3.55,4.18,6.42,10.04,13.60,15.29,14.46,10.72,9.50,3.47,2.27
1926,4.14,5.30,5.45,8.27,9.11,12.39,15.66,15.19,13.19,7.32,5.22,3.73
1927,3.85,3.90,6.12,6.80,9.60,11.03,14.91,14.64,11.46,9.44,5.16,1.72
1928,4.11,4.75,4.72,7.09,9.76,11.46,14.47,14.05,11.76,9.36,6.66,3.44
1929,1.45,1.04,5.60,5.80,10.23,12.09,14.67,14.13,13.82,8.64,5.86,4.64
1930,3.97,1.42,4.26,7.33,9.85,13.88,14.29,14.44,12.56,9.40,5.32,3.93
1931,2.89,2.99,3.22,6.63,10.11,12.62,14.17,13.46,11.01,8.54,7.05,5.11
1932,5.56,3.29,4.30,5.81,9.42,13.18,14.83,15.38,12.14,7.97,5.83,5.00
1933,2.09,3.17,6.31,7.98,10.58,13.99,16.28,15.89,13.79,9.49,5.14,2.19
1934,4.26,4.11,4.24,6.67,10.00,13.64,16.42,14.24,13.31,9.39,5.55,6.89
1935,4.12,4.40,5.74,6.82,9.31,13.20,15.31,15.15,12.43,8.58,5.66,2.47
1936,2.94,2.48,5.77,5.61,10.28,13.31,14.38,15.11,13.27,8.95,5.22,4.58
1937,4.25,3.89,2.48,7.98,10.92,12.93,14.58,15.17,12.27,9.31,5.45,2.43
1938,4.58,4.17,7.80,7.00,9.44,12.63,13.74,14.65,12.93,9.53,7.83,3.34
1939,3.06,4.77,5.18,7.42,10.41,13.40,14.20,15.20,13.09,7.85,7.27,3.07
1940,-0.43,2.47,4.87,7.36,11.16,14.85,13.78,14.39,11.63,8.91,6.11,3.32
1941,-0.01,2.19,4.02,5.58,8.55,13.40,15.12,13.66,13.80,9.62,5.73,5.14
1942,1.27,0.34,4.23,7.99,9.79,12.67,14.19,14.96,12.36,9.29,4.90,5.68
