Variable:,tas
Country:,Italy
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.90,0.75,6.50,10.67,13.91,19.03,21.11,20.58,17.89,13.16,6.94,5.51
1902,4.51,5.55,7.07,11.78,11.34,17.04,21.36,20.83,17.96,12.78,7.07,3.93
1903,3.33,5.35,7.90,7.89,14.32,16.88,20.17,20.87,17.90,13.64,8.23,5.28
1904,3.72,5.73,7.35,11.37,15.39,19.39,22.67,21.31,16.16,12.80,6.71,4.79
1905,0.95,3.05,7.43,10.17,13.57,18.25,22.61,21.23,18.74,10.04,8.74,5.05
1906,3.30,3.35,6.49,9.85,14.09,17.86,20.90,21.29,16.59,13.61,9.46,3.08
1907,1.83,2.33,4.73,8.57,15.13,18.31,19.75,21.43,18.17,15.09,8.75,6.02
1908,2.80,4.23,5.70,8.40,16.46,19.35,20.55,19.96,16.51,13.17,6.52,4.04
1909,1.79,1.39,5.83,11.13,14.11,17.16,19.42,20.62,17.14,14.05,7.10,6.63
1910,4.19,5.34,7.06,9.87,13.19,18.15,19.22,20.22,15.70,13.81,7.18,7.05
1911,2.17,3.37,7.10,9.61,14.05,17.87,22.15,22.55,18.81,13.46,10.08,6.58
1912,4.44,6.98,8.94,8.90,14.72,18.18,20.78,19.04,14.43,11.79,5.80,5.35
1913,4.24,3.60,8.27,10.03,14.15,18.24,18.55,19.67,17.69,14.16,9.93,4.81
1914,1.15,5.58,7.76,11.68,13.80,17.07,19.73,20.52,16.78,12.10,7.66,6.15
1915,3.61,4.08,6.43,9.73,15.79,19.22,20.57,19.92,15.93,11.18,6.74,7.65
1916,4.98,5.08,8.25,10.63,15.23,17.88,20.81,20.30,15.84,12.71,9.08,6.55
1917,2.97,2.43,5.45,8.25,15.82,19.92,20.96,21.38,19.33,12.30,7.42,2.71
1918,3.77,4.21,6.70,10.26,14.96,16.44,20.63,20.20,18.97,11.86,7.57,5.64
1919,4.84,3.98,7.19,9.06,12.77,18.40,18.91,21.48,18.82,11.02,6.89,4.57
1920,5.73,5.96,8.72,11.23,17.20,18.01,21.53,20.09,18.06,12.69,7.12,5.57
