Variable:,tas
Country:,Russia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-26.78,-21.04,-14.04,-4.51,3.82,11.92,14.87,12.74,5.67,-5.00,-15.52,-24.94
1902,-26.58,-22.41,-17.41,-7.88,2.03,10.75,15.12,12.25,5.97,-6.39,-19.46,-25.36
1903,-25.26,-19.23,-14.89,-5.74,3.28,10.83,15.20,12.27,6.04,-5.16,-14.90,-24.85
1904,-25.17,-23.33,-15.15,-5.91,3.51,10.77,14.09,12.63,5.45,-3.88,-13.70,-22.70
1905,-23.64,-22.71,-16.40,-6.89,3.23,10.44,14.67,12.20,6.40,-3.65,-15.86,-22.73
1906,-27.34,-24.82,-14.14,-3.53,4.19,12.40,14.78,13.60,6.15,-3.35,-17.60,-20.05
1907,-27.91,-23.36,-15.16,-4.65,3.21,10.91,14.97,12.89,6.61,-3.51,-17.99,-26.75
1908,-28.17,-22.38,-18.07,-6.31,3.86,11.81,15.11,12.54,6.85,-3.70,-17.50,-24.82
1909,-27.32,-23.10,-18.58,-6.21,2.79,11.14,15.52,13.14,6.58,-3.09,-15.31,-22.81
1910,-25.90,-21.27,-17.38,-5.69,3.84,11.00,15.72,13.11,6.48,-4.30,-17.89,-24.64
1911,-26.50,-24.08,-17.81,-5.29,2.88,11.45,15.32,12.59,5.40,-3.64,-14.00,-23.57
1912,-24.89,-25.00,-18.33,-5.86,3.57,11.90,14.00,11.43,5.63,-7.61,-17.08,-25.16
1913,-26.55,-24.98,-14.24,-6.30,2.91,10.98,14.46,12.74,6.02,-4.56,-15.79,-20.52
1914,-24.08,-20.10,-17.23,-6.34,3.93,11.36,14.58,12.97,6.32,-4.38,-17.76,-21.70
1915,-28.04,-23.52,-17.13,-5.92,4.57,11.73,15.64,11.96,5.67,-6.25,-16.49,-25.52
1916,-24.49,-22.33,-17.27,-6.89,2.39,10.86,14.87,12.30,5.67,-3.24,-15.79,-26.62
1917,-26.11,-24.40,-17.28,-4.88,4.10,11.63,14.95,12.17,6.72,-3.85,-15.63,-22.49
1918,-24.04,-22.98,-15.39,-5.49,2.19,11.27,14.65,12.22,6.52,-3.35,-16.16,-26.05
1919,-29.05,-25.23,-17.55,-5.52,2.56,10.81,15.05,12.99,7.16,-2.29,-17.53,-23.33
1920,-23.92,-23.67,-13.19,-3.47,5.24,11.75,15.24,13.46,5.84,-5.81,-17.29,-24.99
1921,-23.53,-22.07,-14.93,-5.11,3.97,12.65,15.51,12.79,6.30,-3.89,-15.22,-24.76
1922,-27.48,-25.81,-14.93,-5.83,4.05,12.13,15.68,12.42,5.74,-4.56,-16.31,-21.34
1923,-25.01,-24.44,-15.41,-7.19,3.10,11.74,15.07,13.01,7.09,-2.75,-15.59,-21.88
1924,-26.55,-24.07,-16.12,-6.16,4.43,11.01,15.33,12.84,7.08,-3.97,-13.35,-21.32
1925,-21.24,-22.60,-16.47,-5.74,3.48,10.83,14.69,12.97,6.68,-2.86,-14.72,-22.32
1926,-23.91,-23.69,-13.14,-5.86,2.32,11.18,14.36,12.87,6.66,-3.58,-14.47,-23.66
1927,-27.75,-22.82,-17.89,-5.50,4.70,12.11,14.99,12.74,7.49,-2.88,-14.71,-24.34
1928,-25.38,-23.24,-17.27,-6.12,3.20,11.03,14.90,13.13,6.36,-3.39,-16.28,-22.91
1929,-27.49,-26.26,-16.41,-6.57,3.66,11.19,14.92,12.83,5.66,-2.63,-14.59,-25.95
1930,-22.59,-25.10,-14.44,-6.84,3.33,11.24,14.94,13.41,5.75,-3.64,-13.82,-24.80
1931,-28.62,-26.68,-15.58,-7.17,3.37,11.89,15.66,13.37,7.10,-1.93,-15.20,-22.26
1932,-21.49,-23.16,-16.14,-4.36,3.34,11.32,15.70,13.22,7.80,-1.90,-16.16,-21.61
1933,-27.10,-25.92,-17.81,-5.74,2.39,10.73,15.23,12.72,5.81,-2.64,-15.63,-23.47
1934,-23.05,-18.24,-16.08,-6.88,5.03,11.47,14.81,12.72,5.50,-2.66,-13.76,-22.25
1935,-25.19,-18.73,-15.78,-6.53,3.52,11.46,15.02,12.88,6.80,-3.49,-17.05,-23.19
1936,-26.25,-23.66,-17.00,-5.04,3.82,11.64,16.02,13.03,7.03,-3.09,-14.93,-19.65
1937,-23.42,-21.38,-18.35,-6.28,3.77,12.15,15.04,12.27,7.00,-2.55,-14.97,-23.65
1938,-24.35,-21.45,-14.09,-2.85,4.25,11.73,15.56,13.51,7.23,-4.03,-12.90,-25.73
1939,-26.94,-19.84,-14.70,-4.56,3.66,12.59,14.81,12.81,6.16,-4.23,-14.84,-19.50
1940,-28.68,-22.79,-15.15,-4.18,3.33,11.78,15.21,13.29,6.44,-5.86,-15.12,-23.87
1941,-27.39,-25.16,-18.30,-7.40,3.22,11.64,15.21,12.97,6.34,-3.34,-17.43,-26.09
1942,-25.05,-24.19,-19.47,-6.77,3.31,11.58,15.09,12.21,6.67,-4.06,-15.39,-20.21
1943,-25.71,-20.58,-13.29,-2.31,6.34,11.75,15.07,12.98,7.20,-2.28,-15.62,-22.17
1944,-22.71,-20.72,-13.43,-5.06,4.41,11.26,14.62,12.56,7.87,-2.89,-16.65,-22.51
1945,-26.09,-24.42,-17.54,-3.61,4.38,11.86,14.62,13.44,6.95,-2.54,-15.41,-25.68
1946,-24.98,-23.13,-17.59,-4.87,3.10,11.04,15.29,12.96,5.11,-4.42,-15.66,-25.13
1947,-27.58,-24.26,-15.58,-3.64,4.00,11.58,14.37,12.18,6.74,-1.03,-16.03,-24.09
1948,-23.25,-22.08,-14.57,-3.94,5.24,12.21,15.06,12.82,6.71,-2.30,-13.55,-23.03
1949,-20.91,-21.98,-15.82,-4.21,4.43,11.06,14.19,12.98,6.25,-2.24,-17.29,-23.94
1950,-27.23,-22.30,-15.27,-5.02,3.65,11.43,14.17,12.21,6.36,-3.46,-17.44,-22.56
1951,-26.96,-26.84,-15.83,-3.91,3.81,11.17,14.86,12.87,7.39,-2.51,-15.30,-18.34
1952,-24.52,-23.69,-17.79,-6.59,3.13,11.46,15.75,13.03,7.28,-5.26,-20.01,-25.26
1953,-25.11,-24.03,-14.85,-2.94,4.65,12.61,15.84,13.11,6.37,-3.26,-17.87,-21.12
1954,-26.65,-25.72,-16.46,-4.68,3.20,12.61,15.89,13.28,6.53,-2.45,-15.63,-23.07
1955,-21.70,-24.83,-19.09,-6.39,4.33,11.87,14.61,12.91,5.89,-2.84,-15.59,-25.59
1956,-25.57,-24.74,-16.58,-7.46,3.41,12.31,14.86,12.14,5.25,-4.51,-16.39,-22.23
1957,-23.40,-23.41,-18.54,-5.71,4.95,12.19,14.90,12.99,6.55,-4.22,-17.14,-21.84
1958,-24.93,-22.24,-18.62,-7.37,2.81,10.72,14.63,12.71,4.88,-4.10,-15.60,-24.26
1959,-23.97,-21.44,-12.84,-5.91,4.01,12.53,14.94,13.31,6.95,-4.60,-15.60,-24.66
1960,-26.95,-23.11,-18.12,-5.78,3.07,12.10,15.09,11.99,6.09,-5.33,-17.84,-21.03
1961,-25.16,-20.67,-13.50,-5.54,3.75,11.27,15.00,12.36,6.50,-4.56,-15.51,-22.72
1962,-21.35,-19.32,-14.67,-3.66,5.03,10.86,15.52,12.36,6.21,-4.20,-16.22,-22.28
1963,-23.73,-20.03,-16.76,-6.74,3.61,10.66,15.13,12.77,6.41,-2.90,-14.20,-22.45
1964,-24.70,-23.64,-17.86,-8.01,3.48,11.55,15.25,12.56,5.98,-4.64,-16.35,-21.91
1965,-25.65,-25.02,-14.53,-6.06,3.27,11.14,14.95,12.20,6.43,-3.80,-18.83,-23.97
1966,-26.86,-27.58,-17.20,-7.19,4.27,11.36,14.65,12.85,6.66,-4.63,-16.21,-24.55
1967,-25.89,-23.70,-13.15,-3.47,5.36,11.78,15.69,12.40,5.74,-0.56,-14.26,-21.13
1968,-25.99,-21.17,-11.26,-4.22,4.54,10.90,14.51,12.46,5.12,-4.71,-19.58,-26.69
1969,-29.46,-29.39,-18.17,-6.44,2.31,10.74,15.67,12.46,5.53,-4.82,-14.48,-23.34
1970,-25.57,-22.90,-15.71,-5.36,3.21,11.10,15.67,11.50,7.05,-5.05,-15.95,-22.76
1971,-22.87,-25.84,-16.88,-6.23,3.98,11.34,15.11,12.82,7.21,-3.25,-12.41,-21.56
1972,-28.76,-22.27,-15.66,-3.90,3.11,11.24,14.86,12.59,5.17,-3.57,-18.25,-21.29
1973,-25.65,-21.15,-14.83,-4.99,4.38,12.20,14.73,12.73,5.97,-4.40,-14.73,-21.05
1974,-26.82,-24.80,-14.25,-5.00,3.52,11.17,15.58,13.12,7.27,-4.51,-18.37,-23.32
1975,-22.51,-22.05,-12.52,-3.28,5.00,12.25,14.95,12.23,7.06,-3.66,-14.99,-20.67
1976,-23.57,-24.93,-16.76,-4.30,3.35,11.26,14.29,12.32,6.32,-7.39,-16.74,-23.98
1977,-27.19,-25.79,-16.03,-3.78,5.34,12.64,14.83,12.07,5.94,-6.48,-13.90,-23.16
1978,-24.07,-22.57,-13.99,-5.35,2.91,10.89,14.32,11.84,5.95,-3.24,-11.84,-25.76
1979,-28.00,-23.99,-15.66,-7.75,4.92,11.56,14.82,12.15,6.44,-5.23,-16.26,-20.78
1980,-25.92,-22.73,-17.20,-6.47,3.43,11.81,14.95,12.74,6.56,-3.57,-16.36,-20.41
