Variable:,tas
Country:,"United States"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.16,-4.14,2.05,6.85,13.72,18.27,22.22,20.54,15.30,10.50,2.60,-2.68
1902,-3.73,-2.67,1.78,7.62,14.35,18.21,20.51,19.81,14.97,9.93,3.20,-4.02
1903,-3.93,-4.39,2.44,7.18,13.07,17.22,20.25,19.67,15.00,9.35,1.52,-2.84
1904,-5.49,-3.92,1.83,7.22,13.46,17.78,20.22,19.25,15.87,9.60,3.20,-2.31
1905,-4.89,-4.40,4.54,8.01,13.20,18.24,20.25,20.21,16.15,8.42,3.47,-3.28
1906,-3.93,-1.71,0.18,8.58,13.23,17.82,20.45,19.97,16.69,9.15,2.04,-1.78
1907,-3.34,-2.29,3.77,6.34,11.68,17.01,20.53,19.60,15.72,9.35,2.03,-1.32
1908,-2.72,-2.05,3.17,8.38,12.89,17.65,20.85,19.35,15.93,8.28,2.90,-1.58
1909,-3.73,-1.91,1.38,6.59,12.47,18.38,20.67,20.47,15.50,8.85,3.60,-5.89
1910,-4.49,-4.48,5.79,8.56,12.98,18.03,21.14,19.55,16.51,10.27,2.32,-3.07
1911,-3.12,-1.65,2.98,6.94,13.86,19.31,20.60,19.62,16.71,9.57,0.39,-2.68
1912,-5.70,-2.52,0.25,8.13,13.99,17.32,20.50,19.19,15.09,9.43,3.10,-2.27
1913,-4.39,-3.24,1.27,8.05,13.58,18.56,20.80,20.59,15.25,8.46,4.26,-2.03
1914,-1.75,-3.34,1.95,7.90,14.07,18.89,21.37,20.07,15.60,10.71,3.59,-3.93
1915,-3.92,-1.07,0.87,10.05,12.90,17.47,20.15,19.28,15.96,9.95,3.31,-2.11
1916,-4.57,-2.44,2.01,7.80,12.98,17.29,21.38,20.04,15.48,9.18,1.85,-4.72
1917,-5.30,-3.22,1.16,6.82,11.14,17.52,21.29,19.70,15.68,7.98,2.72,-4.76
1918,-6.71,-2.11,3.56,6.58,13.53,19.34,20.63,20.26,14.82,10.64,1.59,-1.68
1919,-3.37,-2.41,1.82,8.02,13.40,18.42,21.44,20.23,16.48,8.99,1.28,-4.24
1920,-4.87,-1.27,1.16,5.32,12.70,17.71,20.47,19.30,16.04,9.69,1.70,-2.26
1921,-2.43,-0.86,4.71,7.72,13.32,19.21,21.50,20.23,16.59,10.28,3.21,-0.92
1922,-4.97,-2.81,1.33,7.56,13.61,18.91,20.51,20.31,16.94,10.43,2.65,-1.82
1923,-2.04,-3.40,0.63,7.43,13.20,18.18,21.31,20.11,16.17,9.04,3.55,-1.34
1924,-5.57,-1.51,0.91,6.60,12.36,18.36,20.04,20.03,14.91,9.73,3.44,-4.85
1925,-5.28,-0.51,3.54,9.63,13.50,18.95,21.27,19.97,16.97,8.11,2.41,-2.45
1926,-2.47,-0.14,2.24,7.93,14.00,18.46,21.04,20.41,15.96,10.53,2.81,-3.16
1927,-2.84,0.16,2.18,7.44,13.24,17.82,20.77,18.92,15.86,10.28,3.12,-4.55
1928,-2.34,-0.91,2.45,6.48,14.10,17.19,20.92,19.92,15.13,10.17,3.03,-1.75
1929,-4.70,-4.37,2.66,7.88,12.91,17.97,20.96,20.32,15.80,9.83,1.68,-1.81
1930,-6.14,0.11,1.36,9.33,13.03,18.28,21.73,20.62,16.39,8.69,2.00,-2.49
1931,-1.93,0.49,1.32,7.91,13.01,19.35,21.91,20.11,17.49,10.74,3.65,-1.19
1932,-3.73,-1.43,0.71,8.45,13.59,18.58,21.28,20.27,15.83,9.14,1.53,-3.76
1933,-2.67,-3.95,2.30,7.54,13.33,19.52,21.74,20.02,17.18,9.95,3.14,-1.53
1934,-2.54,-0.86,2.81,9.32,15.49,19.35,22.18,20.84,15.70,11.21,4.35,-1.81
1935,-3.20,-0.26,3.32,7.33,11.91,17.89,21.88,20.45,15.99,9.59,1.56,-3.42
1936,-4.88,-5.44,2.99,7.67,15.13,19.72,22.56,21.55,16.67,9.73,2.12,-1.88
1937,-4.84,-3.17,0.85,7.30,14.12,18.61,21.59,21.29,16.64,10.14,2.77,-2.26
1938,-3.20,-1.11,4.00,8.64,13.38,18.43,21.14,21.00,17.10,11.47,2.20,-1.35
1939,-2.29,-3.53,2.34,8.37,14.54,18.55,21.70,20.31,17.16,9.83,2.55,0.45
1940,-6.06,-1.49,2.45,8.36,14.11,18.95,21.48,20.30,16.44,11.01,1.77,-0.31
1941,-2.77,-1.21,1.54,8.91,14.60,18.26,21.21,20.44,16.01,10.29,3.08,-0.60
1942,-2.87,-2.33,2.14,9.24,13.32,18.23,21.34,20.16,15.84,10.22,2.87,-3.25
1943,-4.79,-0.26,0.93,8.89,13.49,18.77,21.44,20.75,15.76,9.90,3.00,-1.83
1944,-2.57,-0.72,0.75,6.77,14.44,18.40,20.80,20.13,16.17,10.64,2.71,-2.80
1945,-2.62,-0.75,4.00,7.29,12.31,16.98,20.76,20.11,16.08,9.82,2.09,-3.87
1946,-2.71,-1.34,4.01,9.33,12.86,18.45,21.34,19.59,15.84,9.77,2.35,-1.63
1947,-4.06,-2.76,1.16,7.96,13.60,17.50,20.85,20.91,16.70,11.96,1.62,-1.55
1948,-4.45,-3.16,0.69,8.84,13.50,18.59,20.84,19.91,16.37,9.33,2.12,-3.03
1949,-5.27,-3.33,2.69,7.97,14.00,18.39,21.34,20.25,15.84,9.99,5.10,-2.38
1950,-3.39,-1.96,1.57,6.92,13.20,18.14,20.12,19.46,15.60,11.45,1.84,-2.03
1951,-4.44,-1.79,0.14,7.65,14.01,17.52,21.23,20.23,15.79,9.57,1.52,-3.13
1952,-3.43,-1.06,0.45,8.00,13.33,19.34,21.32,20.46,16.41,9.57,2.84,-1.66
1953,-1.42,-0.70,3.02,7.26,13.31,19.40,21.52,20.24,16.69,10.70,3.76,-1.63
1954,-3.76,0.71,1.41,9.22,13.00,18.59,21.89,20.35,16.84,10.42,4.36,-2.66
1955,-3.47,-3.72,1.53,8.37,13.96,17.27,21.58,20.85,16.50,9.96,0.08,-3.22
1956,-4.01,-3.24,1.67,7.18,14.36,19.18,20.91,19.98,16.07,10.21,1.34,-1.71
1957,-4.53,-0.07,2.53,8.15,13.48,18.84,21.50,20.35,15.83,9.02,2.76,-0.94
1958,-2.74,-2.49,1.04,8.02,14.67,18.46,20.85,20.89,16.35,9.66,3.20,-2.48
1959,-4.44,-1.75,1.24,7.95,13.96,19.26,20.88,20.72,15.99,9.30,1.39,-1.12
1960,-3.91,-2.77,-0.44,8.31,13.47,18.58,21.30,20.22,16.63,10.15,2.90,-2.47
1961,-3.39,-0.55,2.50,6.57,13.16,18.85,20.87,20.44,15.45,9.31,1.78,-4.17
1962,-5.14,-0.75,0.47,8.33,14.34,18.12,20.60,20.39,15.56,10.90,3.44,-2.00
1963,-5.74,-1.39,3.19,8.26,14.14,18.28,21.13,20.17,16.96,12.14,2.87,-3.90
1964,-3.34,-2.95,0.25,7.69,13.69,18.25,21.63,19.58,15.60,9.77,2.90,-3.86
1965,-3.40,-3.40,0.46,8.52,13.56,17.43,20.60,19.60,14.94,9.55,4.18,-1.34
1966,-6.18,-3.19,2.15,7.21,13.29,18.27,21.81,19.55,16.08,9.04,3.27,-2.77
1967,-2.60,-2.46,3.53,8.21,12.43,18.13,20.63,19.92,15.81,9.59,2.85,-2.50
1968,-4.41,-2.48,3.56,7.60,12.71,18.42,21.07,19.76,15.48,9.85,2.37,-4.36
1969,-4.89,-2.57,-0.10,9.13,14.44,17.93,21.32,20.35,16.58,8.85,2.25,-1.12
1970,-5.78,-0.46,1.45,7.26,14.15,18.50,21.29,20.76,15.64,8.38,2.78,-2.18
1971,-5.45,-2.47,0.64,7.32,12.53,19.04,20.62,20.18,15.82,10.11,2.30,-1.79
1972,-4.57,-2.61,2.46,7.18,13.68,18.25,20.72,20.29,15.72,9.03,1.44,-3.64
1973,-4.81,-2.04,3.43,7.11,13.22,18.60,20.96,20.33,15.95,10.52,2.71,-1.73
1974,-3.88,-2.43,3.40,8.30,13.84,18.34,21.42,19.59,15.18,9.38,2.64,-2.48
1975,-3.46,-2.74,0.97,5.83,13.76,17.90,21.26,19.99,15.08,9.81,2.17,-2.40
1976,-4.12,-0.15,2.48,8.39,13.01,18.08,20.88,19.80,15.91,7.77,1.71,-3.17
1977,-5.82,0.05,2.57,9.09,14.32,19.38,21.77,20.59,16.77,9.81,2.44,-2.50
