Variable:,tas
Country:,"South Africa"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.66,22.57,19.69,18.02,13.19,10.80,10.05,12.87,14.58,17.21,19.68,21.59
1902,21.30,22.41,20.42,16.84,14.30,10.07,10.81,12.02,14.63,17.58,18.85,22.07
1903,22.50,22.11,20.18,16.65,13.47,9.82,10.14,12.20,15.13,17.00,19.06,21.69
1904,21.94,21.76,19.91,17.15,13.50,10.82,10.84,12.13,14.69,17.37,19.82,20.50
1905,22.48,21.72,19.75,17.76,13.17,9.96,11.04,11.35,15.31,18.08,19.64,21.82
1906,22.85,21.84,20.14,16.44,13.63,11.07,9.73,11.04,14.79,16.68,19.52,20.93
1907,21.78,21.79,20.61,16.47,12.45,10.20,10.20,12.25,15.15,16.77,18.75,20.64
1908,21.62,22.03,20.08,15.42,13.64,10.34,10.51,12.16,15.42,17.42,19.36,21.91
1909,22.37,21.45,19.49,17.31,13.42,11.19,10.64,12.55,15.37,17.14,19.90,20.83
1910,22.21,21.64,20.28,17.02,13.51,10.08,10.37,11.72,14.90,17.03,18.35,21.46
1911,22.23,22.82,19.90,16.77,13.06,9.74,9.73,11.58,14.80,18.51,19.93,22.49
1912,22.69,22.23,20.11,17.52,13.98,10.72,10.34,12.17,14.36,18.13,20.47,22.06
1913,23.04,22.68,20.18,17.15,13.98,11.13,10.38,13.07,14.93,17.53,20.26,21.84
1914,23.19,22.33,20.80,17.51,14.47,10.33,10.69,11.83,16.22,18.73,19.53,21.50
1915,23.59,22.87,20.83,16.81,13.45,10.68,9.55,12.46,15.13,17.65,20.00,21.80
1916,22.26,22.83,20.28,17.63,12.42,10.16,10.94,11.77,15.41,18.35,20.30,22.04
1917,22.51,22.32,20.39,17.04,12.98,10.31,10.04,11.01,14.68,17.76,19.29,21.40
1918,21.54,22.43,20.12,17.16,12.90,10.43,10.39,11.55,15.85,18.49,19.84,21.75
1919,22.61,22.59,20.82,18.37,13.26,11.25,10.60,12.36,14.45,18.28,19.43,21.97
1920,23.35,22.05,19.94,17.44,13.82,10.06,11.19,12.80,15.14,17.55,21.01,21.78
1921,22.03,22.66,20.79,16.95,13.14,10.73,9.24,11.42,14.74,17.64,19.62,21.27
1922,22.66,22.23,21.12,17.98,13.30,10.46,11.11,12.33,15.94,18.04,19.94,22.19
1923,22.35,22.16,20.93,16.87,13.16,10.66,10.62,12.78,15.68,19.40,21.07,22.03
1924,22.98,21.79,19.92,17.20,13.16,10.37,10.07,11.70,15.07,17.47,19.31,21.68
1925,22.09,23.03,20.29,17.52,13.31,10.00,10.45,12.93,15.06,17.64,20.14,22.28
1926,23.87,23.19,20.64,17.54,13.82,10.75,9.46,12.13,14.81,17.88,19.49,21.79
1927,23.44,22.76,20.46,17.99,13.41,11.00,11.15,12.65,16.33,18.47,20.96,21.97
1928,22.63,22.21,20.80,17.59,13.74,10.92,10.86,12.34,14.97,18.15,20.28,22.05
1929,22.71,22.28,19.97,17.03,14.24,11.35,10.39,12.45,15.73,18.64,20.43,21.89
1930,22.30,21.91,20.52,17.07,13.90,10.71,10.85,12.04,14.41,18.41,20.69,22.57
1931,23.14,23.42,21.44,16.79,15.02,10.99,10.22,12.94,15.52,17.92,20.83,22.18
1932,22.31,22.78,21.23,19.48,14.61,11.17,10.40,13.13,15.84,18.65,21.12,22.06
1933,22.98,23.02,21.33,18.21,14.58,10.64,11.03,12.47,15.76,19.04,20.18,21.99
1934,22.49,21.99,20.68,18.76,15.37,12.46,10.72,13.45,15.97,18.20,20.38,21.87
1935,22.96,22.01,19.68,17.17,13.30,10.36,10.84,11.21,15.06,19.05,19.60,21.43
1936,21.83,21.71,20.69,17.99,12.96,11.89,11.46,13.47,15.43,17.46,19.68,21.72
1937,22.85,22.96,21.10,17.68,14.44,11.06,10.32,13.43,15.15,18.56,21.18,21.78
1938,22.71,22.17,21.44,18.09,14.39,11.59,11.35,12.31,15.51,18.44,19.49,21.85
1939,22.74,22.31,20.42,16.97,14.31,11.45,10.71,12.33,14.88,18.65,20.04,22.13
1940,22.97,23.17,20.76,16.94,13.91,11.46,11.02,13.95,15.47,18.37,20.07,22.80
1941,22.87,22.27,21.25,18.26,14.88,11.37,11.58,13.74,14.93,19.18,20.40,22.57
1942,23.45,23.78,21.04,17.81,13.95,11.30,11.30,13.06,15.49,17.64,20.47,21.23
1943,22.03,21.61,20.88,17.39,13.20,10.55,10.25,11.16,14.92,18.29,19.94,21.42
1944,23.60,22.35,20.66,17.85,12.77,10.43,11.15,14.00,15.31,19.64,20.90,22.01
1945,23.02,24.04,20.46,18.61,13.79,10.49,10.87,13.19,17.74,17.70,21.34,21.79
1946,22.53,22.88,20.84,18.27,14.77,10.83,11.13,12.78,16.65,18.13,21.13,22.78
1947,23.31,24.24,21.14,18.01,14.25,10.99,9.57,13.88,15.25,19.06,21.44,21.77
1948,22.60,22.19,20.19,17.14,14.88,11.28,11.45,13.54,14.92,18.56,19.93,22.36
1949,24.14,22.40,20.66,18.08,14.03,12.28,11.17,12.95,16.67,18.77,19.82,22.19
1950,22.96,23.03,21.88,17.38,13.75,12.17,10.98,12.68,16.15,17.94,19.95,21.54
1951,21.38,22.75,20.57,17.90,13.92,10.44,9.77,12.30,14.94,18.20,20.82,22.90
1952,23.78,22.44,21.16,18.23,13.80,11.98,11.00,12.89,15.07,19.12,20.58,21.67
1953,23.95,22.74,20.64,16.77,14.30,10.32,10.03,12.24,15.48,19.00,20.12,21.77
1954,22.13,22.40,20.14,17.14,13.95,10.65,9.56,12.58,15.96,18.71,19.97,21.97
1955,22.36,21.22,20.07,16.73,14.60,10.81,10.71,11.43,14.81,16.62,19.19,20.41
1956,22.92,21.88,20.72,17.53,13.27,11.03,11.62,12.87,14.73,18.36,20.23,20.64
1957,23.32,22.97,21.30,17.64,14.34,10.26,11.59,12.65,15.70,17.24,21.21,22.61
1958,22.83,22.49,21.16,18.29,14.51,10.50,11.83,12.89,15.47,18.28,21.07,22.30
1959,21.97,22.66,21.11,17.95,12.83,11.89,11.69,12.68,15.98,18.25,20.66,21.68
1960,22.59,22.63,20.86,16.70,13.24,10.98,10.47,14.10,16.50,19.38,20.85,22.09
1961,22.49,22.88,21.17,17.92,13.61,11.96,11.96,12.20,16.65,17.65,20.57,21.33
1962,23.13,22.42,21.05,17.31,13.80,11.30,11.41,13.32,16.59,19.12,20.08,22.72
1963,22.47,22.60,20.24,16.69,13.38,10.96,10.02,12.61,17.86,19.34,20.93,22.58
1964,23.14,22.98,22.43,17.37,14.48,9.71,9.93,12.12,15.59,17.90,19.85,21.65
1965,22.96,23.01,21.20,17.28,13.92,9.31,11.14,13.94,16.66,17.06,19.97,22.04
1966,24.17,21.24,21.32,17.37,14.01,12.13,10.86,13.21,15.45,19.05,21.06,22.99
1967,22.56,22.06,20.39,16.52,13.97,10.57,9.52,12.64,16.17,18.35,20.89,22.70
1968,23.35,21.99,20.24,16.14,13.52,8.82,10.97,12.48,15.76,18.15,20.04,22.47
1969,24.15,23.86,21.10,17.04,13.67,11.25,11.62,13.40,15.25,17.87,20.60,22.48
1970,23.85,22.85,21.68,18.45,14.53,11.05,10.57,12.49,15.95,18.54,20.45,21.50
1971,22.57,22.00,21.61,17.95,13.72,11.41,11.06,11.87,15.79,17.80,19.66,21.74
1972,22.75,21.86,20.55,17.95,13.57,10.86,11.21,12.37,16.22,19.58,21.41,23.25
1973,23.93,22.55,22.19,17.70,13.69,12.19,11.41,12.30,15.07,18.67,20.14,21.26
1974,22.66,22.34,20.44,17.32,13.66,11.34,10.98,11.76,15.04,18.22,20.18,21.78
1975,22.52,22.01,19.69,17.15,13.89,11.72,10.75,12.38,17.08,17.60,20.10,20.72
1976,21.94,21.63,20.26,17.38,13.86,10.81,10.62,12.01,16.39,17.61,18.85,21.83
1977,23.20,23.04,19.92,18.54,13.10,11.42,10.82,12.69,16.08,18.90,21.15,22.83
1978,22.58,22.48,21.71,16.70,13.88,10.45,12.00,13.65,15.17,17.13,21.17,22.22
1979,22.57,23.43,21.06,19.31,14.74,11.51,10.54,13.42,15.43,18.46,20.78,22.67
1980,22.73,22.71,21.60,17.71,14.29,11.11,11.32,13.77,15.25,19.00,19.69,22.22
1981,22.86,22.35,19.98,18.18,14.61,10.57,11.15,11.52,14.44,16.86,21.20,21.93
1982,23.00,23.21,20.97,16.42,14.50,11.27,11.30,13.26,17.50,18.75,20.15,22.59
1983,24.71,23.07,21.85,19.79,14.49,11.95,11.58,12.53,16.76,18.84,20.75,22.68
1984,23.75,23.98,22.14,17.93,14.23,11.59,11.49,13.57,16.78,18.81,20.66,22.10
1985,24.00,23.00,20.69,18.04,14.43,11.99,11.18,14.51,16.51,19.95,21.97,21.71
1986,23.56,22.56,21.24,18.78,15.65,11.89,11.43,14.02,16.47,18.59,20.04,23.08
1987,23.49,24.10,21.90,19.22,16.39,11.17,11.01,13.02,15.39,18.57,21.20,22.85
1988,24.10,23.31,21.72,17.15,14.86,10.77,11.24,14.21,15.75,17.52,20.26,21.37
1989,22.98,21.56,21.01,17.60,14.85,11.14,10.83,14.21,15.63,17.67,20.11,22.51
1990,23.49,22.14,21.16,18.06,14.23,10.95,11.20,13.11,16.41,18.75,21.11,22.47
1991,23.23,22.68,20.90,18.47,15.15,11.19,11.22,12.58,16.22,18.83,20.86,22.15
1992,24.35,24.18,22.18,19.31,14.63,11.52,11.70,12.58,17.49,18.92,20.31,22.94
1993,24.23,22.44,21.65,17.72,14.97,11.55,12.82,13.56,17.67,19.39,20.68,22.68
1994,22.70,22.26,21.26,18.51,14.49,10.44,10.08,12.78,16.82,18.10,20.96,22.91
1995,24.16,24.36,21.53,17.52,14.62,11.14,10.63,13.86,17.24,18.30,20.76,21.00
1996,23.45,22.47,20.54,17.68,14.85,11.79,9.64,11.81,15.80,18.93,19.26,21.93
1997,22.92,22.93,20.31,16.11,13.39,11.05,11.37,14.16,17.31,19.40,20.40,23.14
1998,22.96,23.83,21.89,19.45,14.53,12.16,11.92,13.54,16.44,18.79,20.53,22.21
1999,24.01,24.01,22.81,19.28,14.75,12.45,12.57,13.55,15.48,19.09,22.07,22.41
2000,21.82,22.94,21.34,17.25,13.27,12.13,11.02,14.14,15.29,19.19,20.12,22.30
2001,23.21,22.87,21.96,17.79,14.67,12.25,10.79,13.21,15.31,19.70,20.45,21.88
2002,22.65,23.01,21.90,19.31,14.29,10.85,10.56,13.60,16.40,19.28,20.10,22.65
2003,24.05,24.08,21.85,19.76,14.67,11.23,11.46,11.93,16.08,19.59,21.49,22.85
2004,23.72,23.66,21.27,18.61,15.86,12.28,10.74,14.47,15.62,19.41,23.15,23.38
2005,23.85,24.02,21.36,17.87,15.29,12.26,12.68,13.99,17.71,19.58,21.31,22.21
2006,23.79,23.24,20.26,18.00,12.97,11.99,12.46,12.75,16.69,19.83,21.22,22.87
